episode,input_fidelity,samples,legacy_force_norm_mean_n,current_force_norm_mean_n,delta_force_norm_mean_n,delta_percent_force_norm_mean_n,legacy_force_norm_rmse_n,current_force_norm_rmse_n,delta_force_norm_rmse_n,delta_percent_force_norm_rmse_n,legacy_force_norm_p95_n,current_force_norm_p95_n,delta_force_norm_p95_n,delta_percent_force_norm_p95_n,legacy_force_norm_p99_n,current_force_norm_p99_n,delta_force_norm_p99_n,delta_percent_force_norm_p99_n,legacy_force_norm_max_n,current_force_norm_max_n,delta_force_norm_max_n,delta_percent_force_norm_max_n,legacy_force_within_1n_fraction,current_force_within_1n_fraction,delta_force_within_1n_fraction,delta_percent_force_within_1n_fraction,legacy_force_within_2n_fraction,current_force_within_2n_fraction,delta_force_within_2n_fraction,delta_percent_force_within_2n_fraction
episode_031,joint_30hz_interpolated,3186,1.6842013353347656,0.8435143304753706,-0.840687004859395,-49.91606331272106,1.7928552726486768,0.9327949308525598,-0.860060341796117,-47.97154320914626,2.781023839223604,1.6435627426331543,-1.13746109659045,-40.9008035295376,3.239058249111474,2.131752604639282,-1.1073056444721923,-34.18603678325155,3.8165369390173507,2.7236783700471485,-1.0928585689702022,-28.634822259877875,0.12052730696798493,0.7382297551789078,0.6177024482109228,512.5,0.6898932831136221,0.9849340866290018,0.29504080351537976,42.76615104640582
episode_032,joint_30hz_interpolated,3078,1.569954755013233,0.8890496238230436,-0.6809051311901893,-43.371003464647615,1.6578742954273011,0.9978430309423825,-0.6600312644849187,-39.81190047432408,2.4887069481051296,1.7817152641687444,-0.7069916839363852,-28.40799253100812,2.776336025752385,2.341775030323165,-0.4345609954292198,-15.652319870447025,3.124130336904947,4.29682368521712,1.172693348312173,37.53663329789089,0.1728395061728395,0.6874593892137751,0.5146198830409356,297.74436090225566,0.7943469785575049,0.9753086419753086,0.18096166341780373,22.781186094069525
episode_033,joint_30hz_interpolated,2772,1.8470871689373582,0.836195511112087,-1.0108916578252711,-54.7289632468642,1.9889974217166912,0.9522365210302348,-1.0367609006864564,-52.12479862299845,3.2923440646006092,1.6790753127769256,-1.6132687518236837,-49.0006123348286,3.4515090462996305,2.269078953974388,-1.1824300923252427,-34.25835124473824,3.5693421626799826,4.04627659926974,0.47693443658975765,13.361970213347638,0.12518037518037517,0.7344877344877345,0.6093073593073594,486.74351585014415,0.5977633477633477,0.976911976911977,0.37914862914862923,63.42788171394088
episode_034,joint_30hz_interpolated,3080,1.6709297211108505,0.8010216447187413,-0.8699080763921092,-52.06132043744998,1.8451152122337535,0.8919787422721884,-0.9531364699615651,-51.65728750388809,2.815382057238408,1.5491154770751052,-1.2662665801633026,-44.97672267633105,3.2825052414794755,1.9845051375052314,-1.2980001039742441,-39.542971251714306,3.718693665768662,4.03190417103019,0.31321050526152794,8.422594959748766,0.2474025974025974,0.7435064935064936,0.49610389610389616,200.52493438320212,0.6175324675324675,0.9905844155844156,0.3730519480519481,60.410094637223985
episode_035,joint_30hz_interpolated,3163,1.869282478205173,0.829503247920381,-1.039779230284792,-55.624510602761106,2.0366592636509746,0.9119035525217946,-1.12475571112918,-55.225522069553755,3.3863943306683413,1.5538699570962362,-1.832524373572105,-54.11432321912837,3.570635453822787,1.900211662033703,-1.670423791789084,-46.78225524257029,3.8060153815671565,2.936473418674564,-0.8695419628925927,-22.846517307939834,0.10085361998103066,0.7271577616187164,0.6263041416376857,621.0031347962381,0.676889029402466,0.9930445779323427,0.3161555485298767,46.70714619336759
episode_036,joint_30hz_interpolated,2592,1.7995632149994663,0.8479750974064718,-0.9515881175929944,-52.878838023663235,1.9187761185943963,0.953505930620637,-0.9652701879737593,-50.30655627926358,2.9444252599462546,1.7126288403839975,-1.231796419562257,-41.834867956021455,3.070383193921846,2.2616467911249956,-0.8087364027968507,-26.33991758415794,3.7657003375366136,3.080842313553359,-0.6848580239832547,-18.18673719617489,0.11381172839506173,0.7310956790123457,0.617283950617284,542.3728813559322,0.6273148148148148,0.9783950617283951,0.3510802469135803,55.96555965559657
episode_037,joint_30hz_interpolated,2885,1.942193374820149,0.8553458049873831,-1.086847569832766,-55.95980214552067,2.052009137588155,0.9379592704483415,-1.1140498671398136,-54.29068744056475,3.1192083579024983,1.592464657291836,-1.5267437006106623,-48.946512237397194,3.557535637971919,2.0822110627524375,-1.4753245752194815,-41.47040888283371,3.6844978395230457,3.118558557981792,-0.5659392815412536,-15.36001121972469,0.0610051993067591,0.7181975736568458,0.6571923743500867,1077.2727272727273,0.5792027729636049,0.9854419410745234,0.40623916811091854,70.13764213046079
episode_038,joint_30hz_interpolated,2870,1.529585234821164,0.868565050101755,-0.661020184719409,-43.21564890084038,1.6317714169042197,0.9472468298040922,-0.6845245871001274,-41.94978414310018,2.462621791612531,1.593104333061126,-0.8695174585514049,-35.30860733519469,2.8583762228445586,1.957274369332313,-0.9011018535122457,-31.524956243006383,2.9526139121521155,2.439026651879032,-0.5135872602730838,-17.394325013483996,0.20836236933797908,0.6954703832752613,0.48710801393728226,233.77926421404686,0.8017421602787457,0.99198606271777,0.19024390243902434,23.728813559322028
episode_039,joint_30hz_interpolated,3359,2.071039957283542,0.9114146906863205,-1.1596252665972215,-55.99241398114945,2.194760712694627,0.9946065073881112,-1.2001542053065157,-54.68269038919606,3.1629052903592685,1.6859674333039385,-1.47693785705533,-46.69560803977053,3.533151497431961,2.130596044839205,-1.4025554525927562,-39.697008566210386,3.673018740788721,2.734943105987681,-0.9380756348010397,-25.53963649528244,0.07532003572491813,0.6662697231318845,0.5909496874069664,784.5849802371542,0.46948496576362014,0.9860077403989282,0.516522774635308,110.01902346227011
episode_040,joint_30hz_interpolated,2844,1.6509929519912403,0.8643684201044921,-0.7866245318867482,-47.64554148689799,1.7295877536299664,0.9353091752119508,-0.7942785784180156,-45.922999671512834,2.3534676725266177,1.5688072828332558,-0.7846603896933619,-33.34060624044911,2.4631573734028,1.9375732949149873,-0.5255840784878127,-21.33781966849034,2.527255965153447,2.4056739775605736,-0.12158198759287364,-4.810829978018928,0.14135021097046413,0.7204641350210971,0.5791139240506329,409.7014925373134,0.6768635724331927,0.9922644163150492,0.3154008438818565,46.59740259740259
episode_041,joint_30hz_interpolated,2969,1.8965371821589847,0.8678018446431692,-1.0287353375158155,-54.24282461705924,1.984702106169072,0.9601237780401085,-1.0245783281289635,-51.62378398976124,2.990016243229394,1.7034100419695044,-1.2866062012598898,-43.03007397278481,3.3868743476392162,2.1757813670508703,-1.211092980588346,-35.75842668720571,3.765334208550769,3.040109337465514,-0.7252248710852549,-19.26057106533407,0.0242505894240485,0.7153923880094308,0.6911417985853824,2850.0000000000005,0.6301785112832604,0.9811384304479622,0.3509599191647018,55.69214323890966
episode_042,joint_30hz_interpolated,3057,2.026888310212884,0.873200716776645,-1.153687593436239,-56.91914979346184,2.164540057090522,0.9555450798965064,-1.2089949771940158,-55.85459013491729,3.4527323359221835,1.6199435077023456,-1.832788828219838,-53.08227368659673,3.6358142473222625,2.062553815052564,-1.5732604322696986,-43.271199386172924,3.7436992019254776,2.965616744955709,-0.7780824569697686,-20.78378670405949,0.06346090938828917,0.6902191691200523,0.6267582597317631,987.6288659793814,0.5629702322538437,0.9875695125940465,0.4245992803402028,75.42126670540382
episode_043,joint_30hz_interpolated,2607,1.5690562045594494,0.9196948260572109,-0.6493613785022385,-41.38547597054132,1.7010704425060112,1.0270268632488473,-0.674043579257164,-39.62467176045721,2.8053359809109097,1.7983026193346279,-1.0070333615762819,-35.89706788879142,3.0866856067246364,2.2201348572427313,-0.8665507494819051,-28.073826099880158,3.4453294979393507,4.7328182523067035,1.2874887543673528,37.36910374283212,0.2305331799002685,0.654392021480629,0.4238588415803605,183.8602329450915,0.7203682393555811,0.9758342922899885,0.2554660529344074,35.46325878594249
episode_044,joint_30hz_interpolated,2916,1.8653289265825717,0.8638636244241348,-1.001465302158437,-53.688402505674944,1.9582593639100705,0.9594205121036264,-0.998838851806444,-51.00646371030522,2.8078965259405644,1.652863124642285,-1.1550334012982795,-41.13518395808323,3.0230844345903884,2.2074859602948393,-0.8155984742955491,-26.9790173560289,3.3341435225244433,2.8927252013676856,-0.4414183211567577,-13.239331725664234,0.06652949245541838,0.6982167352537723,0.6316872427983539,949.4845360824742,0.6069958847736625,0.9794238683127572,0.3724279835390947,61.355932203389834
episode_045,joint_30hz_interpolated,3255,1.7566432969775192,0.8342453099120102,-0.922397987065509,-52.50912286248364,1.861393505768489,0.9302865841469555,-0.9311069216215334,-50.02203557367197,2.791649099141722,1.6353331227655095,-1.1563159763762125,-41.420534433633364,2.9886223593231125,2.098175702579381,-0.8904466567437317,-29.794552462138682,3.35279221052405,2.866058550288719,-0.4867336602353314,-14.517262916190491,0.10291858678955453,0.7127496159754224,0.6098310291858678,592.5373134328358,0.6657450076804915,0.9852534562211982,0.3195084485407067,47.99261652053532
